File ID	File Name	Run Metadata ID	Study Name	PDC Study ID	PDC Study Version	Study ID	Project Name	Data Category	File Type	Access	File Size (in bytes)	Md5sum	Downloadable	File Download Link
254415e9-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N111T112_240min_C2_120413.raw	NCC_N111T112_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1818901218	c608d8ed859cdb755990051b05a59184	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N111T112_240min_C2_120413.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=FjXMngUKwuv9%2BcwOHzpq5Br12t8%3D
25441c29-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N115T116_240min_C1_031514.raw	NCC_N115T116_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1252632903	96e815705c9b49dcd0a4ceec12efe7a7	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N115T116_240min_C1_031514.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=8kAzCXTtC6xMk7QeHE6E%2F87YGoc%3D
25441e1a-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N117T118_240min_C1_120713.raw	NCC_N117T118_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1762059467	8af9ed6ad890055c6f7285bd17980cc0	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N117T118_240min_C1_120713.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=1ehhDjSzBjlbwgv4%2FTGmhzALkWg%3D
254424d5-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N119T120_240min_C2_121213.raw	NCC_N119T120_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1540475190	34f57cd48c67c448b08190ab8c3dcd58	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N119T120_240min_C2_121213.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=X9JuszPTEUHJ4sAWc6B6HdMeqYs%3D
254426cc-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N123T124_240min_C1_121413.raw	NCC_N123T124_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1588362176	6cdd2e34862e5858eb733212ed11f43f	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N123T124_240min_C1_121413.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=WB2MLUE94pw6FmOf1FFpY7fwWAM%3D
25442dbb-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N131T132_240min_C1_121713.raw	NCC_N131T132_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1425050926	1fe0fadfc6030100a1cfdd03e1c0cc18	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N131T132_240min_C1_121713.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=GkTukFsUHH7rMzxd0y1cyyPdkss%3D
25442fc0-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N135T136_240min_082814.raw	NCC_N135T136_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1337861891	887084abd307d56cc9971f00ecbcd60a	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N135T136_240min_082814.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=L2sI9R1g3KkQTQnXDP%2F8nCECJ30%3D
254437e7-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N137T138_240min_C1_122513.raw	NCC_N137T138_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1543430750	7a542c1e3022198c0231aac32ab91f5c	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N137T138_240min_C1_122513.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=aY2M42ab%2FvpedqF%2FxhvzO28uQHs%3D
254439ec-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N139T140_240min_C1_122813.raw	NCC_N139T140_Phosphoproteome_KU_20150109	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1515411546	aaf610bc71cdd5db5de9f9ece0e9d060	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N139T140_240min_C1_122813.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=OtGvEhS3uhXA9jXQeFbpsyo73Mo%3D
2544407d-f1f8-11e9-9a07-0a80fada099c	Phospho_FN01_N13T236_240min_C1_021915.raw	NCC_N13T236_Phosphoproteome_KU_20161115	Proteogenomics of Gastric Cancer - Phosphoproteome	PDC000215	1	e386c3db-693a-11ea-b1fd-0aad30af8a83	Human Early-Onset Gastric Cancer - Korea University	Raw Mass Spectra	Proprietary	Open	1660329926	21e46b1edcd73773118904411cb6876b	Yes	https://pdcdatastore.s3.amazonaws.com/raw-files/10/28/Phospho_FN01_N13T236_240min_C1_021915.raw?AWSAccessKeyId=AKIAQPWI5WIU5JVNO7OU&Expires=1724833971&Signature=ql0AT7q5X9xqy%2FVKAEXEA4JaQQ8%3D
